Ha,M,m,beta,Sc_N,Sc_C,F''(0),|- G' (0) |, [ -N'(0) ],[-C'(0) ]
0,0,0,0,385.5,500,0.2464,1.026,3.1071,3.4339
0,0,0,0,385.5,750,0.2464,1.026,3.1071,4.0009
0,0,0,0,385.5,1000,0.2464,1.026,3.1071,4.4507
0,0,0,0,1522.25,500,0.2464,1.026,5.1887,3.4335
0,0,0,0,1522.25,750,0.2464,1.026,5.1889,3.9994
0,0,0,0,1522.25,1000,0.2464,1.026,5.1889,4.4497
0,0,0,0,2659,500,0.2464,1.026,6.3417,3.4325
0,0,0,0,2659,750,0.2464,1.026,6.3417,3.9994
0,0,0,0,2659,1000,0.2464,1.026,6.3417,4.4497
0,0,0,0.5,385.5,500,0.2464,1.026,3.1072,33.4919
0,0,0,0.5,385.5,750,0.2464,1.026,3.1068,46.2945
0,0,0,0.5,385.5,1000,0.2464,1.026,3.1068,58.146
0,0,0,0.5,1522.25,500,0.2464,1.026,5.1887,24.3463
0,0,0,0.5,1522.25,750,0.2464,1.026,5.1887,34.0098
0,0,0,0.5,1522.25,1000,0.2464,1.026,5.1887,43.1112
0,0,0,0.5,2659,500,0.2464,1.026,6.3396,21.3268
0,0,0,0.5,2659,750,0.2464,1.026,6.3396,29.8514
0,0,0,0.5,2659,1000,0.2464,1.026,6.3396,37.9223
0,0,0,1,385.5,500,0.2464,1.026,3.1072,63.55
0,0,0,1,385.5,750,0.2464,1.026,3.1068,88.5884
0,0,0,1,385.5,1000,0.2464,1.026,3.1068,111.8414
0,0,0,1,1522.25,500,0.2464,1.026,5.1887,45.259
0,0,0,1,1522.25,750,0.2464,1.026,5.1887,64.0191
0,0,0,1,1522.25,1000,0.2464,1.026,5.1887,81.7717
0,0,0,1,2659,500,0.2464,1.026,6.3396,39.2202
0,0,0,1,2659,750,0.2464,1.026,6.3396,55.7021
0,0,0,1,2659,1000,0.2464,1.026,6.3396,71.3939
0,0,1,0,385.5,500,0.2464,1.026,3.1071,3.4339
0,0,1,0,385.5,750,0.2464,1.026,3.1071,4.0009
0,0,1,0,385.5,1000,0.2464,1.026,3.1071,4.4507
0,0,1,0,1522.25,500,0.2464,1.026,5.1889,3.4335
0,0,1,0,1522.25,750,0.2464,1.026,5.1889,3.9994
0,0,1,0,1522.25,1000,0.2464,1.026,5.1889,4.4497
0,0,1,0,2659,500,0.2464,1.026,6.3417,3.4325
0,0,1,0,2659,750,0.2464,1.026,6.3417,3.9994
0,0,1,0,2659,1000,0.2464,1.026,6.3417,4.4497
0,0,1,0.5,385.5,500,0.2464,1.026,3.1072,33.4919
0,0,1,0.5,385.5,750,0.2464,1.026,3.1068,46.2945
0,0,1,0.5,385.5,1000,0.2464,1.026,3.1068,58.146
0,0,1,0.5,1522.25,500,0.2464,1.026,5.1887,24.3463
0,0,1,0.5,1522.25,750,0.2464,1.026,5.1887,34.0098
0,0,1,0.5,1522.25,1000,0.2464,1.026,5.1887,43.1112
0,0,1,0.5,2659,500,0.2464,1.026,6.3396,21.3268
0,0,1,0.5,2659,750,0.2464,1.026,6.3396,29.8514
0,0,1,0.5,2659,1000,0.2464,1.026,6.3396,37.9223
0,0,1,1,385.5,500,0.2464,1.026,3.1072,63.55
0,0,1,1,385.5,750,0.2464,1.026,3.1068,88.5884
0,0,1,1,385.5,1000,0.2464,1.026,3.1068,111.8414
0,0,1,1,1522.25,500,0.2464,1.026,5.1887,45.259
0,0,1,1,1522.25,750,0.2464,1.026,5.1887,64.0191
0,0,1,1,1522.25,1000,0.2464,1.026,5.1887,81.7717
0,0,1,1,2659,500,0.2464,1.026,6.3396,39.2202
0,0,1,1,2659,750,0.2464,1.026,6.3396,55.7021
0,0,1,1,2659,1000,0.2464,1.026,6.3396,71.3939
0,0,2,0,385.5,500,0.2464,1.026,3.1071,3.4339
0,0,2,0,385.5,750,0.2464,1.026,3.1071,4.0009
0,0,2,0,385.5,1000,0.2464,1.026,3.1071,4.4507
0,0,2,0,1522.25,500,0.2464,1.026,5.1887,3.4335
0,0,2,0,1522.25,750,0.2464,1.026,5.1889,3.9994
0,0,2,0,1522.25,1000,0.2464,1.026,5.1889,4.4497
0,0,2,0,2659,500,0.2464,1.026,6.3417,3.4325
0,0,2,0,2659,750,0.2464,1.026,6.3417,3.9994
0,0,2,0,2659,1000,0.2464,1.026,6.3417,4.4497
0,0,2,0.5,385.5,500,0.2464,1.026,3.1068,33.4919
0,0,2,0.5,385.5,750,0.2464,1.026,3.1068,46.2945
0,0,2,0.5,385.5,1000,0.2464,1.026,3.1068,58.146
0,0,2,0.5,1522.25,500,0.2464,1.026,5.1887,24.3463
0,0,2,0.5,1522.25,750,0.2464,1.026,5.1887,34.0098
0,0,2,0.5,1522.25,1000,0.2464,1.026,5.1887,43.1112
0,0,2,0.5,2659,500,0.2464,1.026,6.3396,21.3268
0,0,2,0.5,2659,750,0.2464,1.026,6.3396,29.8514
0,0,2,0.5,2659,1000,0.2464,1.026,6.3396,37.9223
0,0,2,1,385.5,500,0.2464,1.026,3.1072,63.55
0,0,2,1,385.5,750,0.2464,1.026,3.1068,88.5884
0,0,2,1,385.5,1000,0.2464,1.026,3.1068,111.8414
0,0,2,1,1522.25,500,0.2464,1.026,5.1887,45.259
0,0,2,1,1522.25,750,0.2464,1.026,5.1887,64.0191
0,0,2,1,1522.25,1000,0.2464,1.026,5.1887,81.7717
0,0,2,1,2659,500,0.2464,1.026,6.3396,39.2202
0,0,2,1,2659,750,0.2464,1.026,6.3396,55.7021
0,0,2,1,2659,1000,0.2464,1.026,6.3396,71.3939
0,2.5,0,0,385.5,500,0.1772,1.7321,2.5826,2.8764
0,2.5,0,0,385.5,750,0.1772,1.7321,2.5826,3.3871
0,2.5,0,0,385.5,1000,0.1772,1.7321,2.5826,3.792
0,2.5,0,0,1522.25,500,0.1772,1.7321,4.4522,2.8764
0,2.5,0,0,1522.25,750,0.1772,1.7321,4.4644,3.3835
0,2.5,0,0,1522.25,1000,0.1772,1.7321,4.4644,3.7919
0,2.5,0,0,2659,500,0.1772,1.7321,5.4929,2.8753
